plot_sequence_number,inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
816545944290487,2022,2,5,204,1,7.4,38.0,3.6375861597263857,2.0014800002101243
816545944290487,2022,2,5,204,3,7.5,40.0,3.6888794541139363,2.0149030205422647
816545944290487,2022,2,5,204,4,11.3,42.0,3.7376696182833684,2.424802725718295
816545944290487,2022,2,5,204,5,12.7,60.0,4.0943445622221,2.5416019934645457
816545944290487,2022,2,5,204,7,11.9,61.0,4.110873864173311,2.4765384001174837
816545944290487,2022,2,5,204,8,17.7,63.0,4.143134726391533,2.8735646395797834
816545944290487,2022,2,5,204,9,17.1,62.0,4.127134385045092,2.8390784635086144
816545944290487,2022,2,5,204,10,9.8,51.0,3.9318256327243257,2.2823823856765264
816545944290487,2022,2,5,204,11,9.6,50.0,3.912023005428146,2.2617630984737906
816545944290487,2022,2,5,204,12,6.6,40.0,3.6888794541139363,1.8870696490323797
816545944290487,2022,2,5,204,13,6.7,28.0,3.332204510175204,1.9021075263969205
816545944290487,2022,2,5,204,18,5.2,42.0,3.7376696182833684,1.6486586255873816
816545944290487,2022,2,5,204,19,6.3,31.0,3.4339872044851463,1.840549633397487
55963314010538,2004,2,5,228,4,7.4,39.0,3.6635616461296463,2.0014800002101243
55963314010538,2004,2,5,228,6,5.6,33.0,3.4965075614664802,1.7227665977411035
1192967888290487,2023,2,5,470,1,2.4,25.0,3.2188758248682006,0.8754687373538999
1192967888290487,2023,2,5,470,2,3.7,24.0,3.1780538303479458,1.308332819650179
1192967888290487,2023,2,5,470,6,12.0,64.0,4.1588830833596715,2.4849066497880004
1192967888290487,2023,2,5,470,7,10.7,60.0,4.0943445622221,2.3702437414678603
1192967888290487,2023,2,5,470,8,6.2,46.0,3.828641396489095,1.824549292051046
1192967888290487,2023,2,5,470,13,1.2,9.0,2.1972245773362196,0.1823215567939546
1192967888290487,2023,2,5,470,14,5.1,35.0,3.5553480614894135,1.62924053973028
1287180367290487,2024,2,5,509,2,6.3,38.0,3.6375861597263857,1.840549633397487
122567250010661,2007,2,5,509,7,8.2,53.0,3.970291913552122,2.1041341542702074
1287180367290487,2024,2,5,509,8,2.6,19.0,2.9444389791664403,0.9555114450274363
73613645010538,2006,2,5,512,1,7.7,25.0,3.2188758248682006,2.0412203288596382
73613645010538,2006,2,5,512,2,8.0,79.0,4.3694478524670215,2.0794415416798357
73613645010538,2006,2,5,512,5,7.0,38.0,3.6375861597263857,1.9459101490553132
73613645010538,2006,2,5,512,6,9.7,35.0,3.5553480614894135,2.272125885509337
306275619489998,2016,2,5,512,14,8.4,33.0,3.4965075614664802,2.128231705849268
1192967887290487,2023,2,5,512,16,6.7,42.0,3.7376696182833684,1.9021075263969205
306275619489998,2016,2,5,512,17,8.8,48.0,3.871201010907891,2.174751721484161
1192967887290487,2023,2,5,512,18,8.3,50.0,3.912023005428146,2.1162555148025524
306275619489998,2016,2,5,512,19,6.7,49.0,3.8918202981106265,1.9021075263969205
1192967887290487,2023,2,5,512,21,9.5,62.0,4.127134385045092,2.2512917986064953
1192967887290487,2023,2,5,512,22,10.4,50.0,3.912023005428146,2.341805806147327
1192967887290487,2023,2,5,512,28,7.4,42.0,3.7376696182833684,2.0014800002101243
73613645010538,2006,2,5,512,40,6.0,33.0,3.4965075614664802,1.791759469228055
1192967887290487,2023,2,5,512,47,7.8,50.0,3.912023005428146,2.0541237336955462
55962801010538,2004,2,5,643,12,8.5,50.0,3.912023005428146,2.1400661634962708
55962801010538,2004,2,5,643,15,5.5,36.0,3.58351893845611,1.7047480922384253
1287180373290487,2024,2,5,805,18,1.1,7.0,1.9459101490553132,0.09531017980432493
816545899290487,2022,2,5,852,1,18.1,64.0,4.1588830833596715,2.89591193827178
816545899290487,2022,2,5,852,5,15.1,64.0,4.1588830833596715,2.714694743820879
816545899290487,2022,2,5,852,17,12.1,51.0,3.9318256327243257,2.4932054526026954
816545899290487,2022,2,5,852,24,11.1,50.0,3.912023005428146,2.4069451083182885
816545899290487,2022,2,5,852,35,11.0,44.0,3.784189633918261,2.3978952727983707
816545899290487,2022,2,5,852,49,6.3,32.0,3.4657359027997265,1.840549633397487
816545899290487,2022,2,5,852,53,8.9,43.0,3.7612001156935624,2.186051276738094
306275614489998,2016,2,5,875,2,13.1,74.0,4.30406509320417,2.5726122302071057
169111991010661,2010,2,5,875,8,9.2,70.0,4.248495242049359,2.2192034840549946
169111991010661,2010,2,5,875,15,12.0,64.0,4.1588830833596715,2.4849066497880004
169111991010661,2010,2,5,875,16,6.5,59.0,4.07753744390572,1.8718021769015913
375519151489998,2017,2,5,925,3,6.8,62.0,4.127134385045092,1.916922612182061
