inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,2,5,204,1,7.4,38.0,3.6375861597263857,2.0014800002101243
2022,2,5,204,3,7.5,40.0,3.6888794541139363,2.0149030205422647
2022,2,5,204,4,11.3,42.0,3.7376696182833684,2.424802725718295
2022,2,5,204,5,12.7,60.0,4.0943445622221,2.5416019934645457
2022,2,5,204,7,11.9,61.0,4.110873864173311,2.4765384001174837
2022,2,5,204,8,17.7,63.0,4.143134726391533,2.8735646395797834
2022,2,5,204,9,17.1,62.0,4.127134385045092,2.8390784635086144
2022,2,5,204,10,9.8,51.0,3.9318256327243257,2.2823823856765264
2022,2,5,204,11,9.6,50.0,3.912023005428146,2.2617630984737906
2022,2,5,204,12,6.6,40.0,3.6888794541139363,1.8870696490323797
2022,2,5,204,13,6.7,28.0,3.332204510175204,1.9021075263969205
2022,2,5,204,18,5.2,42.0,3.7376696182833684,1.6486586255873816
2022,2,5,204,19,6.3,31.0,3.4339872044851463,1.840549633397487
2022,2,5,852,1,18.1,64.0,4.1588830833596715,2.89591193827178
2022,2,5,852,5,15.1,64.0,4.1588830833596715,2.714694743820879
2022,2,5,852,17,12.1,51.0,3.9318256327243257,2.4932054526026954
2022,2,5,852,24,11.1,50.0,3.912023005428146,2.4069451083182885
2022,2,5,852,35,11.0,44.0,3.784189633918261,2.3978952727983707
2022,2,5,852,49,6.3,32.0,3.4657359027997265,1.840549633397487
2022,2,5,852,53,8.9,43.0,3.7612001156935624,2.186051276738094
2022,2,9,333,1,2.3,28.0,3.332204510175204,0.8329091229351039
2022,2,9,333,2,3.0,29.0,3.367295829986474,1.0986122886681098
2022,2,9,333,3,5.1,34.0,3.5263605246161616,1.62924053973028
2022,2,9,333,4,5.2,33.0,3.4965075614664802,1.6486586255873816
2022,2,9,333,5,5.5,29.0,3.367295829986474,1.7047480922384253
2022,2,9,333,6,5.2,27.0,3.295836866004329,1.6486586255873816
2022,2,9,333,7,5.6,32.0,3.4657359027997265,1.7227665977411035
2022,2,9,333,8,5.7,31.0,3.4339872044851463,1.7404661748405046
2022,2,9,333,20,3.0,23.0,3.1354942159291497,1.0986122886681098
2022,2,9,333,22,2.0,17.0,2.833213344056216,0.6931471805599453
2022,2,9,333,26,1.5,9.0,2.1972245773362196,0.4054651081081644
2022,2,9,333,27,1.7,11.0,2.3978952727983707,0.5306282510621704
2022,2,9,333,35,5.9,40.0,3.6888794541139363,1.7749523509116738
2022,2,9,333,38,5.8,35.0,3.5553480614894135,1.7578579175523736
2022,2,9,333,39,5.7,37.0,3.6109179126442243,1.7404661748405046
2022,2,9,333,40,5.0,35.0,3.5553480614894135,1.6094379124341003
2022,2,9,333,41,5.4,35.0,3.5553480614894135,1.6863989535702288
2022,2,9,333,47,2.5,21.0,3.044522437723423,0.9162907318741551
2022,2,9,333,48,2.4,25.0,3.2188758248682006,0.8754687373538999
2022,2,9,333,49,1.3,14.0,2.6390573296152584,0.26236426446749106
2022,2,9,333,50,1.3,13.0,2.5649493574615367,0.26236426446749106
2022,2,9,333,52,3.0,30.0,3.4011973816621555,1.0986122886681098
2022,2,9,333,53,2.2,18.0,2.8903717578961645,0.7884573603642703
2022,2,9,333,54,2.3,22.0,3.091042453358316,0.8329091229351039
2022,2,9,333,55,2.3,23.0,3.1354942159291497,0.8329091229351039
2022,2,9,333,56,2.7,24.0,3.1780538303479458,0.9932517730102834
2022,2,9,333,57,1.3,16.0,2.772588722239781,0.26236426446749106
2022,2,9,333,58,1.6,17.0,2.833213344056216,0.47000362924573563
2022,2,9,333,60,1.4,14.0,2.6390573296152584,0.3364722366212129
2022,2,9,333,61,1.9,22.0,3.091042453358316,0.6418538861723947
2022,2,9,333,64,1.7,15.0,2.70805020110221,0.5306282510621704
2022,2,9,333,66,1.0,14.0,2.6390573296152584,0.0
2022,2,9,333,72,5.5,35.0,3.5553480614894135,1.7047480922384253
2022,2,9,735,1,11.1,62.0,4.127134385045092,2.4069451083182885
2022,2,9,735,16,11.4,64.0,4.1588830833596715,2.4336133554004498
2022,2,9,735,17,2.1,10.0,2.302585092994046,0.7419373447293773
2022,2,9,735,21,1.5,9.0,2.1972245773362196,0.4054651081081644
2022,2,9,735,22,4.7,25.0,3.2188758248682006,1.547562508716013
2022,2,9,1088,2,3.9,15.0,2.70805020110221,1.3609765531356006
2022,2,9,1088,3,2.3,10.0,2.302585092994046,0.8329091229351039
