inventory_year,survey_unit,county,plot_number,tree_number,diameter,height,SPCD,log_height,log_diameter
2017,2,5,509,2,15.24,11.5824,97.0,2.44948670455674,2.7239235502585
2017,2,5,925,3,17.272,18.8976,97.0,2.939034929875446,2.8490866932125063
2017,2,5,925,13,13.716000000000001,12.4968,97.0,2.525472611534662,2.618563034600674
2017,2,5,925,18,22.352000000000004,18.5928,97.0,2.9227744090036656,3.106915802514606
2017,2,5,1239,7,10.16,5.486400000000001,97.0,1.702272302726519,2.318458442150336
2017,2,5,1239,8,4.826,3.048,97.0,1.1144856378244,1.5740179672028398
2017,2,9,51,8,21.843999999999998,13.716000000000001,97.0,2.618563034600674,3.083926284289907
2017,2,9,51,14,3.302,3.048,97.0,1.1144856378244,1.1945283454979363
2017,2,9,51,15,5.3340000000000005,3.3528000000000002,97.0,1.2097958176287247,1.6741014257598226
2017,2,9,51,16,27.686,17.0688,97.0,2.8372522355655034,3.3209268702655432
2017,2,9,51,25,23.368,17.3736,97.0,2.8549518126649045,3.15136756508544
2017,2,9,199,12,16.256,10.972800000000001,97.0,2.395419483286464,2.7884620713960713
2017,2,9,208,1,10.414,7.010400000000001,97.0,1.947394760759504,2.3431510547407073
2017,2,9,208,3,25.4,15.8496,97.0,2.7631442634117818,3.2347491740244907
2017,2,9,208,5,13.716000000000001,12.192,97.0,2.5007799989442905,2.618563034600674
2017,2,11,1458,1,14.223999999999998,7.62,97.0,2.030776369698555,2.6549306787715485
2017,2,11,1458,5,22.86,9.4488,97.0,2.2458877493155005,3.1293886583666644
2017,2,11,1458,7,17.78,8.2296,97.0,2.1077374108346834,2.8780742300857587
2017,2,11,1458,13,17.526,7.9248,97.0,2.0699970828518364,2.863685492633659
2017,2,11,1458,15,22.606,7.9248,97.0,2.0699970828518364,3.1182153577685394
2017,2,11,1458,21,16.256,9.144,97.0,2.2130979264925097,2.7884620713960713
2017,2,11,1458,22,20.573999999999998,9.7536,97.0,2.2776364476300808,3.024028142708838
2017,2,11,1458,24,14.223999999999998,9.4488,97.0,2.2458877493155005,2.6549306787715485
2017,2,11,1458,26,15.24,6.7056000000000004,97.0,1.90294299818867,2.7239235502585
2017,2,11,1458,27,13.462,7.010400000000001,97.0,1.947394760759504,2.5998709015885213
2017,2,15,866,7,12.953999999999999,7.62,97.0,2.030776369698555,2.561404620760725
2017,2,15,947,5,15.494,11.277600000000001,97.0,2.4228184574745786,2.7404528522097107
2017,2,15,947,7,34.544,25.2984,97.0,3.230741152626952,3.5422338737724512
2017,2,15,947,10,13.716000000000001,9.144,97.0,2.2130979264925097,2.618563034600674
2017,2,15,947,11,42.164,28.956000000000003,97.0,3.365777436430895,3.741566776392943
2017,2,15,947,12,33.782000000000004,19.5072,97.0,2.970783628190026,3.5199281162581535
2017,2,15,947,13,14.986,11.5824,97.0,2.44948670455674,2.707116431942119
2017,2,15,947,14,24.637999999999998,19.5072,97.0,2.970783628190026,3.204289966539782
2017,2,15,947,21,34.036,20.7264,97.0,3.0314082500064607,3.527418787987311
2017,2,15,1382,4,53.594,19.5072,97.0,2.970783628190026,3.981437121512466
2017,2,15,1382,8,38.354,18.288,97.0,2.9062451070524546,3.6468588248513236
2017,2,17,69,5,20.32,15.24,97.0,2.7239235502585,3.011605622710281
2017,2,17,69,6,19.812,15.24,97.0,2.7239235502585,2.9862878147259915
2017,2,17,69,7,22.606,15.24,97.0,2.7239235502585,3.1182153577685394
2017,2,17,69,14,12.7,8.2296,97.0,2.1077374108346834,2.5416019934645457
2017,2,17,826,1,10.414,9.7536,97.0,2.2776364476300808,2.3431510547407073
2017,2,17,826,3,17.78,12.8016,97.0,2.5495701631137226,2.8780742300857587
2017,2,17,826,5,21.336000000000002,17.3736,97.0,2.8549518126649045,3.060395786879713
2017,2,17,826,10,13.97,15.5448,97.0,2.74372617755468,2.6369121732688705
2017,2,17,826,11,13.716000000000001,12.4968,97.0,2.525472611534662,2.618563034600674
2017,2,17,903,6,3.048,2.4384,97.0,0.8913420865101901,1.1144856378244
2017,2,17,990,1,5.588000000000001,4.2672,97.0,1.4509578744456126,1.7206214413947156
2017,2,17,990,2,3.302,2.7432000000000003,97.0,1.0091251221665736,1.1945283454979363
2017,2,17,990,7,5.588000000000001,3.9624,97.0,1.376849902291891,1.7206214413947156
2017,2,17,990,19,3.302,2.7432000000000003,97.0,1.0091251221665736,1.1945283454979363
2017,2,19,1208,9,21.336000000000002,15.5448,97.0,2.74372617755468,3.060395786879713
2017,2,19,1208,10,18.034,16.4592,97.0,2.8008845913946283,2.892258865077715
2017,2,19,1208,15,23.622000000000003,19.5072,97.0,2.970783628190026,3.1621784811896556
2017,2,19,1208,20,16.51,14.630400000000002,97.0,2.6831015557382454,2.8039662579320366
2017,2,23,94,8,27.177999999999997,19.5072,97.0,2.970783628190026,3.3024078224983056
2017,2,23,365,4,17.78,10.668000000000001,97.0,2.3672486063197677,2.8780742300857587
2017,2,23,365,6,25.907999999999998,14.9352,97.0,2.7037208429409807,3.2545518013206705
2017,2,23,365,10,18.541999999999998,14.9352,97.0,2.7037208429409807,2.9200384291847907
2017,2,23,365,11,19.05,14.9352,97.0,2.7037208429409807,2.94706710157271
2017,2,23,365,13,13.97,11.8872,97.0,2.4754621909600005,2.6369121732688705
2017,2,23,365,14,18.288,15.5448,97.0,2.74372617755468,2.9062451070524546
2017,2,23,365,15,17.526,13.411200000000001,97.0,2.5960901787486153,2.863685492633659
2017,2,23,365,17,5.842,3.6576000000000004,97.0,1.2968071946183546,1.7650732039655492
2017,2,23,365,18,7.366,4.2672,97.0,1.4509578744456126,1.9968748180228735
2017,2,23,365,24,13.208,10.0584,97.0,2.3084081062968345,2.580822706617827
2017,2,23,365,26,12.953999999999999,8.8392,97.0,2.1791963748168284,2.561404620760725
2017,2,23,516,4,35.306000000000004,24.384,97.0,3.193927179504236,3.5640529211670913
2017,2,23,516,30,37.846000000000004,24.384,97.0,3.193927179504236,3.633525293981859
2017,2,23,1103,2,28.702,17.9832,97.0,2.8894379887360735,3.35696680674874
2017,2,23,1103,4,16.51,12.8016,97.0,2.5495701631137226,2.8039662579320366
2017,2,23,1103,6,20.828,11.5824,97.0,2.44948670455674,3.0362982353006527
2017,2,23,1103,8,27.94,15.5448,97.0,2.74372617755468,3.330059353828816
2017,2,23,1103,9,25.4,16.764,97.0,2.819233730062825,3.2347491740244907
2017,2,23,1103,15,14.732,11.277600000000001,97.0,2.4228184574745786,2.690021998582819
2017,2,23,1103,34,15.494,11.277600000000001,97.0,2.4228184574745786,2.7404528522097107
2017,2,23,1103,41,12.7,8.5344,97.0,2.144105055005558,2.5416019934645457
2017,2,23,1266,23,3.048,3.048,97.0,1.1144856378244,1.1144856378244
2017,2,23,1279,7,21.082,13.716000000000001,97.0,2.618563034600674,3.0484195958329976
2017,3,1,816,1,9.398000000000001,6.4008,97.0,1.8564229825537772,2.240496900680624
2017,3,1,816,2,6.35,5.1816,97.0,1.6451138888865704,1.8484548129046001
2017,3,1,816,8,31.75,17.3736,97.0,2.8549518126649045,3.457892725338701
2017,3,1,816,9,32.512,16.154400000000003,97.0,2.782192458382476,3.4816092519560167
2017,3,1,816,10,35.306000000000004,17.3736,97.0,2.8549518126649045,3.5640529211670913
2017,3,1,1034,4,13.462,9.144,97.0,2.2130979264925097,2.5998709015885213
2017,3,1,1034,8,39.37,17.3736,97.0,2.8549518126649045,3.673004104955646
2017,3,1,1034,9,27.686,16.154400000000003,97.0,2.782192458382476,3.3209268702655432
2017,3,1,1034,10,21.843999999999998,14.9352,97.0,2.7037208429409807,3.083926284289907
2017,3,1,1034,14,5.08,3.048,97.0,1.1144856378244,1.6253112615903906
2017,3,1,1034,15,3.048,2.1336,97.0,0.7578106938856675,1.1144856378244
2017,3,1,1034,16,20.32,13.411200000000001,97.0,2.5960901787486153,3.011605622710281
2017,3,1,1034,17,13.462,8.8392,97.0,2.1791963748168284,2.5998709015885213
2017,3,1,1235,16,3.5559999999999996,2.1336,97.0,0.7578106938856675,1.268636317651658
2017,3,1,1559,1,6.35,4.572,97.0,1.5199507459325643,1.8484548129046001
2017,3,3,243,3,13.208,12.192,97.0,2.5007799989442905,2.580822706617827
2017,3,3,243,4,29.21,17.0688,97.0,2.8372522355655034,3.3745111163996495
2017,3,3,243,5,20.573999999999998,13.411200000000001,97.0,2.5960901787486153,3.024028142708838
2017,3,3,243,7,16.764,14.630400000000002,97.0,2.6831015557382454,2.819233730062825
2017,3,3,243,9,25.4,16.4592,97.0,2.8008845913946283,3.2347491740244907
2017,3,3,243,11,16.764,13.411200000000001,97.0,2.5960901787486153,2.819233730062825
2017,3,3,243,13,18.288,15.24,97.0,2.7239235502585,2.9062451070524546
2017,3,3,243,14,29.464,18.288,97.0,2.9062451070524546,3.3831691791427643
2017,3,3,243,15,17.272,14.630400000000002,97.0,2.6831015557382454,2.8490866932125063
2017,3,3,243,16,20.32,12.8016,97.0,2.5495701631137226,3.011605622710281
2017,3,3,243,17,23.876,16.154400000000003,97.0,2.782192458382476,3.1728737703064036
2017,3,3,243,19,23.622000000000003,16.764,97.0,2.819233730062825,3.1621784811896556
2017,3,3,243,20,36.068,17.6784,97.0,2.8723435553767733,3.58540604563766
2017,3,3,243,21,24.13,15.8496,97.0,2.7631442634117818,3.1834558796369405
2017,3,3,243,26,30.48,18.8976,97.0,2.939034929875446,3.4170707308184456
2017,3,3,243,27,20.828,15.24,97.0,2.7239235502585,3.0362982353006527
2017,3,3,243,28,16.256,11.277600000000001,97.0,2.4228184574745786,2.7884620713960713
2017,3,3,243,34,14.478000000000002,14.325600000000001,97.0,2.6620481465404127,2.6726302558709496
2017,3,3,243,35,14.732,14.630400000000002,97.0,2.6831015557382454,2.690021998582819
2017,3,3,433,6,28.447999999999997,19.5072,97.0,2.970783628190026,3.348077859331494
2017,3,3,433,14,16.764,13.716000000000001,97.0,2.618563034600674,2.819233730062825
2017,3,3,433,16,14.732,9.144,97.0,2.2130979264925097,2.690021998582819
2017,3,3,520,7,20.573999999999998,13.716000000000001,97.0,2.618563034600674,3.024028142708838
2017,3,3,520,8,13.208,9.144,97.0,2.2130979264925097,2.580822706617827
2017,3,3,520,11,15.24,6.7056000000000004,97.0,1.90294299818867,2.7239235502585
2017,3,3,520,12,21.336000000000002,13.716000000000001,97.0,2.618563034600674,3.060395786879713
2017,3,3,520,13,27.94,13.716000000000001,97.0,2.618563034600674,3.330059353828816
2017,3,3,520,14,28.702,15.5448,97.0,2.74372617755468,3.35696680674874
2017,3,3,520,15,29.21,16.154400000000003,97.0,2.782192458382476,3.3745111163996495
2017,3,3,520,18,19.558,13.1064,97.0,2.5731006605239166,2.9733844098900835
2017,3,3,520,19,27.686,15.5448,97.0,2.74372617755468,3.3209268702655432
2017,3,3,520,20,29.21,15.24,97.0,2.7239235502585,3.3745111163996495
2017,3,3,520,21,17.78,10.972800000000001,97.0,2.395419483286464,2.8780742300857587
2017,3,3,520,27,29.718,13.716000000000001,97.0,2.618563034600674,3.3917529228341556
2017,3,3,520,28,16.256,9.7536,97.0,2.2776364476300808,2.7884620713960713
2017,3,3,520,29,14.223999999999998,8.2296,97.0,2.1077374108346834,2.6549306787715485
2017,3,3,520,30,17.018,7.62,97.0,2.030776369698555,2.8342716074273655
2017,3,3,520,31,30.48,15.24,97.0,2.7239235502585,3.4170707308184456
2017,3,3,556,1,9.652,6.7056000000000004,97.0,1.90294299818867,2.2671651477627854
2017,3,3,556,9,17.526,10.3632,97.0,2.338261069446516,2.863685492633659
2017,3,3,688,2,33.782000000000004,17.0688,97.0,2.8372522355655034,3.5199281162581535
2017,3,3,688,5,20.828,10.3632,97.0,2.338261069446516,3.0362982353006527
2017,3,3,688,8,4.826,3.048,97.0,1.1144856378244,1.5740179672028398
2017,3,3,688,12,13.462,7.315200000000001,97.0,1.9899543751783,2.5998709015885213
2017,3,3,854,23,13.97,7.315200000000001,97.0,1.9899543751783,2.6369121732688705
2017,3,3,854,26,14.986,9.7536,97.0,2.2776364476300808,2.707116431942119
2017,3,3,1363,1,13.462,5.7912,97.0,1.7563395239967945,2.5998709015885213
2017,3,3,1363,15,15.24,10.0584,97.0,2.3084081062968345,2.7239235502585
2017,3,3,2621,8,19.304,17.0688,97.0,2.8372522355655034,2.9603123283227304
2017,3,3,2642,1,4.318,3.048,97.0,1.1144856378244,1.4627923320926155
2017,3,3,2642,2,6.096,3.9624,97.0,1.376849902291891,1.807632818384345
2017,3,3,2642,3,3.5559999999999996,3.3528000000000002,97.0,1.2097958176287247,1.268636317651658
2017,3,3,2642,8,14.223999999999998,8.2296,97.0,2.1077374108346834,2.6549306787715485
2017,3,21,234,1,6.35,3.9624,97.0,1.376849902291891,1.8484548129046001
2017,3,21,298,13,6.8580000000000005,4.572,97.0,1.5199507459325643,1.9254158540407287
2017,3,21,298,16,15.24,10.668000000000001,97.0,2.3672486063197677,2.7239235502585
2017,3,21,298,17,2.7940000000000005,2.4384,97.0,0.8913420865101901,1.0274742608347702
2017,3,21,298,18,13.716000000000001,9.4488,97.0,2.2458877493155005,2.618563034600674
